locus_tag	symbol	old_locus_tag	rna_exp_d_w_logfc	rna_exp_d_w_padj		rna_exp_d_c_logfc	rna_exp_d_c_padj		rna_stat_d_w_logfc	rna_stat_d_w_padj		rna_stat_d_c_logfc	rna_stat_d_c_padj		rna_log_d_wc_logfc	rna_log_d_wc_padj		rna_stat_d_wc_logfc	rna_stat_d_wc_logfc
SPY_RS00225	plsX	SPy_0022	-0.0805979053411536	0.766414031762433		-0.0129147960553946	0.966690233462366		0.243569471065557	0.0713885269857732		0.219288400097025	0.260173211396389		-0.0681200407413432	0.813621950814958		0.242231565012468	0.191280898811844
SPY_RS00230	acpP_1	SPy_0023	0.0265189859969537	0.933400029681509		0.0142454323831658	0.966690233462366		0.0850481484886633	0.592115037626614		0.0930522809369611	0.717523066567637		0.026032724465432	0.949079349918217		0.0804676986000309	0.750450063957666
SPY_RS00235	purC	SPy_0024	-0.535718616302295	0.0710361771078457		-0.378680035310047	0.171320383901263		-0.00594748945826151	0.970335097324944		0.17248834926697	0.487274437426306		-0.536760728485465	0.0653003897617642		-0.00341560652575211	0.992829578772368
SPY_RS00240	purL	SPy_0025	-0.662025578480008	0.0444566472949802		-0.371896193840526	0.188717282025313		0.0012133960174762	0.994635898753725		0.260857838016175	0.258112180445127		-0.683702443310811	0.0324896622157098		0.0054960867766422	0.989165755549999
SPY_RS00245	purF	SPy_0026	-0.866043501761971	0.0452122622127322		-0.0428103302454359	0.564833822878279		0.128988050411639	0.462969745959646		0.316616272636879	0.202159036880434		-0.0882682120555855	0.351205741191727		0.12235140437141	0.657780042331635
SPY_RS00250	purM	SPy_0027	-1.14309254104469	0.0189665016236399		-0.688461907197019	0.0663085725696106		-0.239451579173503	0.181735614766306		-0.0752745467342877	0.783331324423249		-0.102235224259651	0.263168704166146		-0.22781908642525	0.372998064074492
SPY_RS00255	purN	SPy_0028	-0.914156689630204	0.0425192446384454		-0.234540993796691	0.102253428140275		0.271332638059262	0.156675015610624		0.132885661419727	0.588754309391758		-1.03297487389734	0.0252642846662279		0.233569364852789	0.35300030412982
SPY_RS00260	purH	-	-0.847737133678649	0.0444566472949802		-0.94085938424775	0.0275576900132759		0.111028008495446	0.521873674671497		0.1479843833421	0.552378192537848		-0.951164335003917	0.0252642846662279		0.10595073600102	0.695394942908004
SPY_RS00265	SPy_0031	SPy_0031	-0.0039729524766089	NA		0.0020210358158712	0.986125044566269		-0.111455170250979	0.515310790749771		0.0369375318517659	0.913156554084527		-0.0034265012913495	0.981428193676069		-0.102051891713714	0.705735883221455
SPY_RS00270	purD	SPy_0032	-0.136476890315685	0.581804480846828		-0.0954020695723882	0.731090624449948		-0.436399799935643	0.0345338118143313		-0.195730251309449	0.424359720697905		-0.129396122642018	0.633502469784392		-0.409545338310897	0.125930146923179
SPY_RS00275	purE	SPy_0033	-0.27905413946589	0.270149118831612		-0.189884131841889	0.440407539926008		-0.524681389193151	0.00853999821408498		-0.2105561874236	0.380314703826646		-0.26156788576548	0.324865398326891		-0.512800267408774	0.0388114843697678
SPY_RS00280	purK	SPy_0034	-0.335711241910683	0.20760842055158		-0.379648658372925	0.153113444258847		-0.0790160073551452	0.635021034384062		0.0197208532534713	0.95575382605134		-0.341370854615943	0.216581121664021		-0.0719843450645907	0.794158293328633
SPY_RS00285	SPy_0035	SPy_0035	-0.711151343942863	0.0183821274877902		-0.282922780670325	0.27270451788321		-0.220359547929948	0.148665944238954		-0.0814661721353204	0.743777231318257		-0.697963780152168	0.0242224737733129		-0.204320959771804	0.316938855817682
SPY_RS00290	purB	SPy_0036	-0.280824102318079	0.265245255671034		-0.174094379945193	0.47702045968369		0.113497287444496	0.521789701045946		0.53515069349096	0.0841764022751405		-0.274745684042769	0.299816268878862		0.096083575653561	0.726598830680303
SPY_RS00295	rgg4	SPy_0037	0.0943736725739217	0.665329829565226		0.0969487951666297	0.675766660443783		0.0975659439896815	0.51384769313415		0.0938182732582818	0.691865283705748		0.0784231479766344	0.74613865400172		0.101168158617455	0.661508327849783
SPY_RS00300	ruvB	SPy_0038	0.142278529294491	0.56063853334917		-0.0163692510355741	0.959150238527327		-0.226498325618122	0.0997714444964524		-0.0996693646467821	0.652155164145995		0.13666818074986	0.607271262131132		-0.216178001026174	0.276002474395397
SPY_RS00305	ptpA	SPy_0039	-0.101894681996916	0.688189889375226		-0.0986461984087201	0.729151541642029		-0.0834731996306565	0.542753227474326		0.00151167974432162	0.993207117433142		-0.0947885394277111	0.74613865400172		-0.0759751748746984	0.739190239339753
SPY_RS00310	SPy_0040	SPy_0040	-0.168758112679982	0.489071536592709		-0.0978185583959185	0.704808030689152		0.0126416614641264	0.925419361832958		0.078342354626458	0.728588306017488		-0.168923754593447	0.54362665581377		0.0175793395259332	0.945341644112779
